Battle of the Silarus,-211,-211,,BC
Battle of Tarentum,-211,-211,,BC
Battle of Beneventum,-211,-211,,BC
Battle of the Upper Baetis,-210,-210,,BC
Battle of Capua,-210,-210,,BC
Battle of Herdonia,-209,-209,,BC
Battle of Numistro,-209,-209,,BC
Battle of the Arius,-208,-208,,BC
First Battle of Lamia,-208,-208,,BC
Second Battle of Lamia,-208,-208,,BC
Battle of Canusium,-208,-208,,BC
Battle of Tarentum,-208,-208,,BC
Battle of Cartagena,-208,-208,,BC
Battle of Baecula,-207,-207,,BC
Battle of the Metaurus,-206,-206,,BC
Battle of Grumentum,-206,-206,,BC
Battle of Mantinea,-206,-206,,BC
Battle of Julu,-206,-206,,BC
Chu–Han contention,-205,-201,,BC
Battle of Ilipa,-205,-205,,BC
Cretan War,-204,-199,,BC
Battle of Crotona,-203,-203,,BC
Battle of Tao River,-203,-203,,BC
Battle of Wei River,-203,-203,,BC
Battle of Utica,-203,-203,,BC
Battle of the Great Plains,-202,-202,,BC
Battle of Cirta,-202,-202,,BC
Po Valley Raid,-202,-202,,BC
Battle of Utica,-202,-202,,BC
Battle of Gaixia,-201,-201,,BC
Battle of Zama,-201,-201,,BC
Battle of Chios,-200,-200,,BC
Battle of Lade,-200,-200,,BC
Second Macedonian War,-199,-196,,BC
Battle of Pingcheng,-199,-199,,BC
Battle of Cremona,-199,-199,,BC
Battle of Panium,-197,-197,,BC
Battle of the Aous,-197,-197,,BC
Battle of Cynoscephalae,-196,-196,,BC
Battle of Gythium,-194,-194,,BC
Roman-Spartan War,-194,-194,,BC
Battle of Mutina,-193,-193,,BC
Roman–Syrian War,-191,-187,,BC
Battle of Thermopylae,-190,-190,,BC
Aetolian War,-190,-188,,BC
Battle of the Eurymedon,-189,-189,,BC
Battle of Myonessus,-189,-189,,BC
Battle of Magnesia,-189,-189,,BC
Galatian War,-188,-188,,BC
Battle of Mount Olympus,-188,-188,,BC
Third Macedonian War,-170,-167,,BC
Battle of Callicinus,-170,-170,,BC
Battle of Pydna,-167,-167,,BC
Battle of Wadi Haramia,-166,-166,,BC
Maccabean Revolt,-166,-159,,BC
Maccabee Revolt,-166,-159,,BC
Battle of Emmaus,-165,-165,,BC
Battle of Beth Horon,-165,-165,,BC
Battle of Beth-zechariah,-163,-163,,BC
Battle of Beth Zur,-163,-163,,BC
Battle of Adasa,-160,-160,,BC
Battle of Elasa,-159,-159,,BC
Rebellion of the Seven States,-154,-154,,BC
Fourth Macedonian War,-149,-147,,BC
Third Punic War,-148,-145,,BC
Battle of Carthage,-148,-145,,BC
Battle of Pydna,-147,-147,,BC
Battle of Corinth,-145,-145,,BC
Battle of Antioch,-144,-144,,BC
First Servile War,-134,-131,,BC
Siege of Numantia,-133,-132,,BC
Sino-Xiongnu War,-132,89,,BC
Battle of Mayi,-132,-132,,BC
Battle of Ecbatana,-128,-128,,BC
Battle of Mobei,-118,-118,,BC
Cimbrian War,-112,-100,,BC
Jugurthine War,-111,-104,,BC
Battle of Noreia,-111,-111,,BC
Battle of Suthul,-109,-109,,BC
Gojoseon-Han War,-108,-107,,BC
Battle of the Muthul,-107,-107,,BC
Battle of Loulan,-107,-107,,BC
Battle of Arausio,-104,-104,,BC
Second Servile War,-103,-99,,BC
Battle of Aquae Sextiae,-101,-101,,BC
Battle of Vercellae,-100,-100,,BC
Roman–Persian Wars,-91,627,,BC
Social War,-90,-87,,BC
First Mithridatic War,-88,-84,,BC
Battle of Fucine Lake,-88,-88,,BC
Battle of Asculum,-88,-88,,BC
Battle of the River Amnias,-87,-87,,BC
Battle of Mount Scorobas,-87,-87,,BC
Sulla's first civil war,-87,-86,,BC
Armenian-Parthian War,-86,-84,,BC
Battle of Chaeronea,-85,-85,,BC
Battle of Tenedos,-85,-85,,BC
Battle of Orchomenus,-84,-84,,BC
Second Mithridatic War,-82,-80,,BC
Sulla's second civil war,-82,-81,,BC
Battle of Mount Tifata,-82,-82,,BC
Battle of the Colline Gate,-81,-81,,BC
Battle of the Baetis River,-79,-79,,BC
Battle of Cyzicus,-73,-73,,BC
Third Servile War,-72,-70,,BC
Third Mithridatic War,-72,-62,,BC
Battle of Cabira,-71,-71,,BC
Battle of Tigranocerta,-68,-68,,BC
Battle of Artaxata,-67,-67,,BC
Battle of Jushi,-66,-66,,BC
Battle of the Lycus,-65,-65,,BC
Roman–Parthian Wars,-65,217,,BC
Fourth Mithridatic War,-65,-62,,BC
Battle of Pistoria,-61,-61,,BC
Gallic Wars,-57,-50,,BC
Battle of the Arar,-57,-57,,BC
Battle of Bibracte,-57,-57,,BC
Battle of Vosges,-57,-57,,BC
Battle of the Sabis,-56,-56,,BC
Battle of the Axona,-56,-56,,BC
Caesar's invasions of Britain,-54,-53,,BC
Battle of Carrhae,-52,-52,,BC
Battle of Alesia,-51,-51,,BC
Battle of Gergovia,-51,-51,,BC
Battle of Utica,-48,-48,,BC
Caesar's civil war,-48,-44,,BC
Battle of Ilerda,-48,-48,,BC
Battle of the Bagradas River,-48,-48,,BC
Battle of Nicopolis,-47,-47,,BC
Siege of Alexandria,-47,-46,,BC
Battle of Dyrrhachium,-47,-47,,BC
Battle of Pharsalus,-47,-47,,BC
Battle of the Nile,-46,-46,,BC
Battle of Zela,-46,-46,,BC
Battle of Ruspina,-45,-45,,BC
Battle of Thapsus,-45,-45,,BC
Battle of Munda,-44,-44,,BC
Sicilian revolt,-43,-35,,BC
Battle of Forum Gallorum,-42,-42,,BC
Battle of Mutina,-42,-42,,BC
Liberators' civil war,-42,-41,,BC
Battle of Philippi,-41,-41,,BC
Battle of Perugia,-40,-39,,BC
Fulvia's civil war,-40,-39,,BC
Antony's Parthian War,-39,-32,,BC
Battle of Cilician Gates,-38,-38,,BC
Battle of Amanus Pass,-38,-38,,BC
Battle of Naulochus,-35,-35,,BC
